"recordist","n_hemipteran_recordings","n_hemipteran_species","n_orthopteran_recordings","n_orthopteran_species"
"Adeline Pichard",0,0,8,2
"Adrian Attinger",31,2,0,0
"Adrien Charbonneau",52,16,10,7
"Alessandro Pavesi",0,0,1,1
"Alexandre Crégu",0,0,7,5
"Alexis Laforge",0,0,13,3
"Anonymous",0,0,1,1
"Antoine Chabrolle",0,0,27,4
"Antoine Thivolle",3,3,7,6
"Aurélie Torres",3,1,4,4
"Aurélien Grimaud",1,1,0,0
"Benjamin Drillat",1,1,8,8
"Benoit Nabholz",0,0,5,4
"Berenger Remy",0,0,9,2
"Blandine Carre",0,0,19,6
"Carlos Álvarez-Cros",4,1,1,1
"Celine Quelennec",0,0,3,2
"Christian Kerbiriou",0,0,7,6
"Christian Roesti",1,1,709,139
"Clement Lemarchand",0,0,3,1
"Clementine Azam",0,0,3,3
"Daniel Bizet",6,1,24,7
"Daniel Espejo Fraga",14,5,24,12
"David Funosas",159,13,117,37
"David Sannier",175,13,671,97
"Dominik Arend",0,0,914,22
"Elodie Massol",111,7,1261,59
"Elouan Meyniel",0,0,5,4
"Eloïsa Matheu",29,7,219,46
"Eric Sardet",0,0,3,3
"Evgenia Kovalyova",0,0,8,4
"Fabien Sane",0,0,1,1
"Fernand Deroussen",110,9,689,66
"Florence Matutini",0,0,10,6
"Gaëtan Jouvenez",5,1,0,0
"Georges Bedrines",0,0,6,4
"Ghislain Riou",0,0,23,16
"Hugues Royer",2,2,18,15
"Jakub Burdzicki",0,0,54,19
"Joan Estrada Bonell",1,1,10,5
"Joan Ventura Linares",8,5,9,4
"Jocelyn Fonderflick",0,0,1,1
"Joss Deffarges",0,0,31,21
"Julien Barataud",0,0,40,11
"Julien Cavallo",0,0,2,1
"Justine Przybilski",0,0,1,1
"Jérome Allain",10,2,0,0
"Jérome Sueur",719,19,0,0
"Kevin Gurcel",1,1,0,0
"Klaus Alix",0,0,3,1
"Laura Martin",4,3,14,9
"Laurent Pelozuelo",2,1,163,33
"Leslie Campourcy",0,0,2,1
"Lucas Roger",29,6,241,46
"Lukasz Cudziło",0,0,31,25
"Marc Anton",1,1,0,0
"Marc Corail",0,0,17,12
"Margaux Charra",0,0,44,5
"Marie-Lilith Patou",0,0,20,5
"Marlene Massouh",0,0,7,3
"Marta Celej",1,1,20,15
"Mathieu Pélissié",7,7,59,37
"Mathieu Sannier",0,0,14,11
"Matija Gogala",16,12,0,0
"Miguel Domenech Fernández",0,0,10,4
"Nicolas Mokuenko",3,2,4,4
"Nicolas Vissyrias",0,0,5,2
"Pere Pons",13,7,0,0
"Piotr Guzik",5,1,194,29
"Rafael Carbonell Font",116,7,1245,48
"Rafael Tamajón",3,1,0,0
"Remi Jullian",0,0,8,3
"Romain Riols",0,0,6,5
"Rosa Matesanz",0,0,1,1
"Roy Kleukers",7,4,185,62
"Stanislas Wroza",7,2,0,0
"Stéphane Puissant",103,15,0,0
"Sylvain Grimaud",0,0,3,3
"Szymon Czyzewski",0,0,1,1
"Sébastien Merle",0,0,2,1
"Tamás Kiss",0,0,5,3
"Thomas Armand",0,0,1,1
"Tomi Trilar",689,13,16,3
"Varvara Vedenina",0,0,6,3
"Vincent Milaret",6,3,8,6
"Werner Reitmeier",0,0,1,1
"Wolfgang Forstmeier",3,1,595,121
"Xavier Béjar",0,0,2,2
"Yves Bas",50,6,685,49
